拆分：乛豕	彖
拆分：亻大	偰
拆分：亻心	偲
拆分：亻刂	偷
拆分：亻女	偻
拆分：亻人	偾
拆分：亻厶	偿
拆分：亻鬼	傀
拆分：亻小	傃
拆分：亻木	傈
拆分：亻寸	傉
拆分：亻方	傍
拆分：亻大	傒
拆分：亻氺	傣
拆分：亻儿	傥
拆分：亻八	傧
拆分：亻日	储
拆分：亻小	傺
拆分：亻夂	傻
拆分：亻八	僎
拆分：亻寸	僔
拆分：亻口	僖
拆分：亻日	僧
拆分：亻灬	僬
拆分：亻里	僮
拆分：亻米	僳
拆分：亻攵	儆
拆分：亻而	儒
拆分：丿乛	儿
拆分：厶儿	允
拆分：口儿	兄
拆分：丿乀	入
拆分：人王	全
拆分：丿乀	八
拆分：冂乂	冈
拆分：冂口	冏
拆分：冂目	冒
拆分：冂于	冔
拆分：冂乛	冕
拆分：冖几	冗
拆分：冖车	军
拆分：冖寸	冠
拆分：冫工	冮
拆分：冫马	冯
拆分：冫水	冰
拆分：冫儿	况
拆分：冫口	冶
拆分：冫龴	冷
拆分：冫东	冻
拆分：冫儿	冼
拆分：冫刂	冽
拆分：冫女	凄
拆分：冫厶	凇
拆分：冫小	凉
拆分：冫口	凋
拆分：冫天	凑
拆分：冫木	凓
拆分：冫人	凝
拆分：丿乛	几
拆分：几又	凤
拆分：亻几	凭
拆分：几王	凰
拆分：乂刂	刈
拆分：干刂	刊
拆分：𠂊彐	刍
拆分：勿刂	刎
拆分：开刂	刑
拆分：歹刂	列
拆分：冂刂	刚
拆分：人刂	创
拆分：衤刀	初
拆分：册刂	删
拆分：半刂	判
拆分：口刂	别
拆分：戋刂	刬
拆分：千刂	刮
拆分：大刂	刳
拆分：尸刂	刷
拆分：乂刂	刹
拆分：亠刂	刻
拆分：人刂	刽
拆分：山刂	刿
拆分：几刂	剁
拆分：文刂	剂
拆分：丷刂	剃
拆分：⺌刂	削
拆分：十刂	剋
拆分：日刂	剔
拆分：宀刂	剜
拆分：大刂	剞
拆分：火刂	剡
拆分：彐刂	剥
拆分：尸刂	剧
拆分：千刂	剩
拆分：丷刀	剪
拆分：宀刂	割
拆分：西刂	剽
拆分：亻刂	劁
拆分：𥫗刂	劄
拆分：自刂	劓
拆分：乛丿	力
拆分：夂力	务
拆分：女力	努
拆分：土力	劫
拆分：勹力	劬
拆分：刀力	劭
拆分：厂力	励
拆分：士力	劼
拆分：亠力	劾
拆分：扌力	势
拆分：龴力	勇
拆分：𠂊力	勉
拆分：口力	勋
拆分：子力	勐
拆分：冂力	勖
拆分：廿力	勤
拆分：勹丿	勿
拆分：丿乛	匕
拆分：亻匕	化
拆分：一丨	十
拆分：丿十	千
拆分：丶丨	半
拆分：亻十	华
拆分：十大	卖
拆分：𠂊乛	危
拆分：土卩	却
拆分：一丿	厂
拆分：厂乛	厄
拆分：厂丁	厅
拆分：厂力	历
拆分：厂万	厉
拆分：厂车	厍
拆分：厂刂	厕
拆分：厂里	厘
拆分：厂子	厚
拆分：厂日	厝
拆分：厂小	原
拆分：厂目	厢
拆分：厂夂	厦
拆分：厂寸	厨
拆分：厂乛	厩
拆分：土厶	去
拆分：厶三	叁
拆分：二又	叆
拆分：二辶	叇
拆分：又又	双
拆分：又又	叕
拆分：人又	叙
拆分：半又	叛
拆分：丨一	口
拆分：十口	古
拆分：口力	另
拆分：口刀	叨
拆分：口卩	叩
拆分：口八	只
拆分：口八	叭
拆分：口丁	叮
拆分：丁口	可
拆分：厶口	台
拆分：口匕	叱
拆分：口十	叶
拆分：口又	叹
拆分：口力	叻
拆分：口几	叽
拆分：口于	吁
拆分：夂口	各
拆分：口幺	吆
拆分：人口	合
拆分：口巾	吊
拆分：冂口	同
拆分：夕口	名
拆分：口土	吐
拆分：口口	吕
拆分：口马	吗
拆分：天口	吞
拆分：口犬	吠
拆分：口匕	吡
拆分：口心	吣
拆分：口巴	吧
拆分：口刀	吩
拆分：口几	吭
拆分：口儿	吮
拆分：口又	吱
拆分：口天	吴
拆分：口人	吹
拆分：口勿	吻
拆分：口牛	吽
拆分：口乛	呃
拆分：口木	呆
拆分：水口	呇
拆分：口王	呈
拆分：口夫	呋
拆分：口内	呐
拆分：口无	呒
拆分：口力	呖
拆分：口人	呗
拆分：口人	员
拆分：口内	呙
拆分：口乛	呛
拆分：口匕	呢
拆分：口龴	呤
拆分：口力	呦
拆分：口匕	呲
拆分：口未	味
拆分：口口	呵
拆分：口又	呶
拆分：人卩	命
拆分：口且	咀
拆分：口出	咄
拆分：口巳	咆
拆分：口央	咉
拆分：口乍	咋
拆分：口口	咍
拆分：夂口	咎
拆分：口寸	咐
拆分：口口	咕
拆分：口口	咖
拆分：口丁	咛
拆分：口丝	咝
拆分：口耳	咡
拆分：口兀	咣
拆分：口七	咤
拆分：口土	咥
拆分：口夷	咦
拆分：口刂	咧
拆分：冫口	咨
拆分：口米	咪
拆分：尺八	咫
拆分：口乂	咬
拆分：口口	咯
拆分：口自	咱
拆分：口人	咳
拆分：口火	咴
拆分：口木	咻
拆分：口大	咽
拆分：口口	品
拆分：口西	哂
拆分：口口	哃
拆分：口八	哄
拆分：口夕	哆
拆分：口土	哇
拆分：口口	哈
拆分：口口	响
拆分：口乂	哎
拆分：口辶	哒
拆分：口兀	哓
拆分：口十	哔
拆分：口夕	哕
拆分：口十	哗
拆分：口厶	哙
拆分：口木	哚
拆分：口丶	哧
拆分：口月	哨
拆分：口里	哩
拆分：口阝	哪
拆分：口子	哮
拆分：扌口	哲
拆分：口更	哽
拆分：力口	哿
拆分：口口	唁
拆分：口巾	唏
拆分：广口	唐
拆分：口土	唑
拆分：口口	唔
拆分：口夂	唛
拆分：口人	唝
拆分：口力	唠
拆分：口人	唢
拆分：口七	唣
拆分：口大	唤
拆分：口卩	唧
拆分：口几	唬
拆分：口刂	唰
拆分：口日	唱
拆分：口犬	唳
拆分：口月	唷
拆分：口女	唼
拆分：口垂	唾
拆分：口心	唿
拆分：口口	啁
拆分：口月	啃
拆分：口木	啉
拆分：口口	啊
拆分：口十	啐
拆分：口火	啖
拆分：口非	啡
拆分：口十	啤
拆分：口口	啥
拆分：口立	啦
拆分：口人	啧
拆分：口白	啪
拆分：口日	啫
拆分：十口	啬
拆分：口夕	啰
拆分：口丨	啴
拆分：口又	啵
拆分：口人	啶
拆分：口阝	啷
拆分：口肃	啸
拆分：亠口	啻
拆分：口巾	啼
拆分：口火	啾
拆分：口口	喀
拆分：口干	喃
拆分：士口	喆
拆分：口白	喈
拆分：口矢	喉
拆分：口口	喏
拆分：口日	喑
拆分：口土	喔
拆分：口而	喘
拆分：士口	喜
拆分：口月	喟
拆分：口王	喤
拆分：口里	喱
拆分：口田	喵
拆分：口人	喷
拆分：口土	喹
拆分：口刂	喻
拆分：口女	喽
拆分：口夂	嗄
拆分：口犬	嗅
拆分：口小	嗉
拆分：口皿	嗌
拆分：口口	嗐
拆分：口木	嗓
拆分：口八	嗔
拆分：口幺	嗞
拆分：口工	嗟
拆分：口习	嗡
拆分：口虫	嗤
拆分：口小	嗦
拆分：口禾	嗪
拆分：口又	嗫
拆分：口口	嗬
拆分：口心	嗯
拆分：口夕	嗲
拆分：口又	嗳
拆分：口辶	嗵
拆分：口矢	嗾
拆分：口日	嘈
拆分：士口	嘉
拆分：口小	嘌
拆分：口戈	嘎
拆分：十又	嘏
拆分：口寸	嘚
拆分：口木	嘛
拆分：口力	嘞
拆分：口阝	嘟
拆分：口土	嘡
拆分：口月	嘣
拆分：口女	嘤
拆分：口山	嘧
拆分：口又	嘬
拆分：口月	嘲
拆分：口口	嘻
拆分：口黑	嘿
拆分：口八	噀
拆分：口寸	噂
拆分：口里	噇
拆分：口日	噌
拆分：口灬	噍
拆分：口丶	噙
拆分：口日	噜
拆分：口大	噢
拆分：口小	噤
拆分：口木	噪
拆分：口心	噫
拆分：口土	噻
拆分：口而	嚅
拆分：口人	嚏
拆分：口小	嚓
拆分：士口	嚭
拆分：囗人	囚
拆分：囗口	回
拆分：囗大	因
拆分：囗女	囡
拆分：囗勿	囫
拆分：囗儿	园
拆分：囗木	困
拆分：囗匕	囵
拆分：囗禾	囷
拆分：囗龴	囹
拆分：囗口	固
拆分：囗玉	国
拆分：囗月	囿
拆分：囗口	圄
拆分：囗人	圆
拆分：囗乛	圈
拆分：囗干	圉
拆分：囗月	圊
拆分：囗方	圐
拆分：囗面	圙
拆分：十一	土
拆分：土丁	圢
拆分：土于	圩
拆分：土土	圭
拆分：土己	圮
拆分：土巳	圯
拆分：土千	圲
拆分：土广	圹
拆分：土止	址
拆分：土又	坂
拆分：土冫	均
拆分：土方	坊
拆分：土刀	坋
拆分：八土	坌
拆分：土丹	坍
拆分：土人	坎
拆分：土几	坑
拆分：土厶	坛
拆分：土力	坜
拆分：土人	坝
拆分：土文	坟
拆分：阝土	坠
拆分：土又	坡
拆分：土且	坥
拆分：土匕	坨
拆分：土甘	坩
拆分：土平	坪
拆分：土口	坫
拆分：土匕	坭
拆分：土力	坳
拆分：土口	坷
拆分：土龴	坽
拆分：丿一	垂
拆分：土立	垃
拆分：土尸	垆
拆分：亻土	垈
拆分：开土	型
拆分：土口	垌
拆分：土自	垍
拆分：土口	垎
拆分：土人	垓
拆分：土兀	垙
拆分：土土	垚
拆分：土木	垛
拆分：土七	垞
拆分：亻土	垡
拆分：土口	垢
拆分：土土	垤
拆分：土口	垧
拆分：扌土	垫
拆分：土辶	垯
拆分：土彐	垱
拆分：土女	垵
拆分：土儿	垸
拆分：土子	垺
拆分：土干	垾
拆分：土更	埂
拆分：土里	埋
拆分：土廴	埏
拆分：土王	埕
拆分：土寸	埘
拆分：土人	埙
拆分：土心	埝
拆分：土十	埤
拆分：土工	埪
拆分：土乀	埭
拆分：土垂	埵
拆分：土勿	埸
拆分：土口	埼
拆分：方土	堃
拆分：廿一	堇
拆分：土月	堉
拆分：土月	堋
拆分：土口	堌
拆分：土夂	堎
拆分：土土	堐
拆分：车土	堑
拆分：土矢	堠
拆分：亻土	堡
拆分：土人	堤
拆分：土大	堧
拆分：土日	堵
拆分：土土	堼
拆分：土日	堾
拆分：土方	塄
拆分：土又	塅
拆分：土习	塌
拆分：月土	塍
拆分：土口	塘
拆分：土方	塝
拆分：土八	填
拆分：土小	塬
拆分：亠土	塾
拆分：土牛	墀
拆分：土又	墁
拆分：土儿	境
拆分：里土	墅
拆分：土力	墈
拆分：土一	墐
拆分：土口	墒
拆分：土灬	墕
拆分：土口	墙
拆分：土木	墚
拆分：土日	增
拆分：土口	墡
拆分：土田	墦
拆分：土攵	墩
拆分：十一	士
拆分：士几	壳
拆分：夂田	备
拆分：丿丶	夕
拆分：几歹	夙
拆分：夕夕	多
拆分：夕八	夤
拆分：果夕	夥
拆分：𠂇乀	大
拆分：一大	天
拆分：大力	夯
拆分：丿夫	失
拆分：大电	奄
拆分：大口	奇
拆分：大小	奈
拆分：大田	奋
拆分：大土	奎
拆分：丰大	契
拆分：大夕	奓
拆分：冫大	奖
拆分：大厶	套
拆分：丿大	奚
拆分：大日	奢
拆分：大百	奭
拆分：女又	奴
拆分：女干	奸
拆分：女子	好
拆分：女口	如
拆分：女己	妃
拆分：亡女	妄
拆分：女彐	妇
拆分：女马	妈
拆分：女户	妒
拆分：女又	妓
拆分：女夭	妖
拆分：女厶	妘
拆分：女丑	妞
拆分：女匕	妣
拆分：丿女	妥
拆分：女儿	妧
拆分：女方	妨
拆分：女无	妩
拆分：女为	妫
拆分：女丶	妭
拆分：女匕	妮
拆分：女未	妹
拆分：女龴	姈
拆分：女口	始
拆分：女且	姐
拆分：女口	姑
拆分：女人	姒
拆分：女生	姓
拆分：女册	姗
拆分：女朱	姝
拆分：女口	姞
拆分：女乂	姣
拆分：女口	姤
拆分：女匕	姥
拆分：女夷	姨
拆分：女口	姶
拆分：女七	姹
拆分：女大	姻
拆分：女乛	姽
拆分：冫女	姿
拆分：女𠂇	娀
拆分：女土	娃
拆分：女兀	娆
拆分：女里	娌
拆分：氵女	娑
拆分：女阝	娜
拆分：女乛	娩
拆分：女天	娱
拆分：女木	娴
拆分：女又	娵
拆分：女日	娼
拆分：女口	婀
拆分：氵女	婆
拆分：女乛	婉
拆分：女又	婌
拆分：女口	婍
拆分：女人	婕
拆分：女乛	婘
拆分：女日	婚
拆分：女干	婞
拆分：女十	婢
拆分：女口	婤
拆分：女月	婧
拆分：木女	婪
拆分：女匕	婫
拆分：女丨	婵
拆分：女丁	婷
拆分：女干	婻
拆分：女口	婼
拆分：女月	婿
拆分：女巾	媂
拆分：女大	媄
拆分：女大	媆
拆分：女木	媒
拆分：女王	媓
拆分：女央	媖
拆分：女目	媚
拆分：女又	媛
拆分：女人	媞
拆分：女缶	媱
拆分：女匕	媲
拆分：女心	媳
拆分：月女	媵
拆分：女虫	媸
拆分：女小	嫄
拆分：女矢	嫉
拆分：女乀	嫌
拆分：女又	嫒
拆分：女八	嫔
拆分：女小	嫖
拆分：女小	嫘
拆分：女又	嫚
拆分：女十	嫜
拆分：女灬	嫣
拆分：女巾	嫦
拆分：女大	嫫
拆分：女口	嬉
拆分：女而	嬬
拆分：女么	嬷
拆分：女灬	嬿
拆分：女目	孀
拆分：子子	孖
拆分：宀子	字
拆分：子小	孙
拆分：子巳	孢
拆分：女子	孥
拆分：子人	孩
拆分：丷子	孳
拆分：子而	孺
拆分：宀丁	宁
拆分：宀匕	它
拆分：宀于	宇
拆分：宀寸	守
拆分：宀女	安
拆分：宀木	宋
拆分：宀儿	完
拆分：宀石	宕
拆分：宀小	宗
拆分：宀人	定
拆分：宀且	宜
拆分：宀玉	宝
拆分：宀大	实
拆分：宀口	客
拆分：宀土	室
拆分：宀月	宥
拆分：宀儿	宪
拆分：宀口	宫
拆分：宀十	宰
拆分：宀口	害
拆分：宀女	宴
拆分：宀月	宵
拆分：宀口	容
拆分：宀八	宾
拆分：宀百	宿
拆分：宀又	寂
拆分：宀口	寄
拆分：宀八	寅
拆分：宀未	寐
拆分：宀又	寝
拆分：宀大	寞
拆分：宀小	察
拆分：宀刀	寡
拆分：宀口	寤
拆分：一丶	寸
拆分：土寸	封
拆分：尸寸	尉
拆分：⺌口	尚
拆分：尢王	尪
拆分：尢皿	尴
拆分：尸匕	尼
拆分：尸水	尿
拆分：尸口	局
拆分：尸匕	屁
拆分：尸厶	层
拆分：尸人	屃
拆分：尸口	居
拆分：尸出	屈
拆分：尸土	屋
拆分：尸米	屎
拆分：尸又	屐
拆分：尸月	屑
拆分：尸口	屙
拆分：尸日	屠
拆分：尸女	屡
拆分：尸夂	履
拆分：尸女	屦
拆分：丨凵	山
拆分：山己	屺
拆分：山兀	屼
拆分：山山	屾
拆分：山夕	岁
拆分：山己	岂
拆分：巴山	岊
拆分：山又	岐
拆分：八山	岔
拆分：山乂	岗
拆分：山乂	岚
拆分：山巴	岜
拆分：山乍	岞
拆分：山口	岢
拆分：山口	岣
拆分：山且	岨
拆分：山石	岩
拆分：山龴	岭
拆分：亻山	岱
拆分：山口	岵
拆分：山干	岸
拆分：山东	岽
拆分：山彐	岿
拆分：山卩	峁
拆分：山丨	峄
拆分：山日	峋
拆分：山口	峒
拆分：山乛	峗
拆分：山寸	峙
拆分：山刂	峛
拆分：山夹	峡
拆分：山兀	峣
拆分：山乂	峧
拆分：山口	峪
拆分：山月	峭
拆分：山丰	峰
拆分：山口	峿
拆分：山人	崁
拆分：山力	崂
拆分：山来	崃
拆分：山工	崆
拆分：山小	崇
拆分：山口	崌
拆分：山口	崎
拆分：山十	崒
拆分：山土	崖
拆分：山夂	崚
拆分：山出	崛
拆分：山子	崞
拆分：山月	崤
拆分：山厶	崧
拆分：山月	崩
拆分：山口	崮
拆分：山寸	崶
拆分：山心	崽
拆分：山女	崾
拆分：山乀	嵊
拆分：山目	嵋
拆分：山人	嵌
拆分：山木	嵘
拆分：山人	嵚
拆分：山刂	嵛
拆分：山女	嵝
拆分：山口	嵩
拆分：山幺	嵫
拆分：山鬼	嵬
拆分：山工	嵯
拆分：山木	嵲
拆分：山月	嵴
拆分：山十	嶂
拆分：山日	嶒
拆分：山田	嶓
拆分：山寸	嶟
拆分：山人	嶷
拆分：山人	巅
拆分：山鬼	巍
拆分：⺶工	差
拆分：丨丨	巾
拆分：亠巾	市
拆分：女巾	帑
拆分：巾又	帔
拆分：巾白	帕
拆分：巾口	帖
拆分：巾失	帙
拆分：巾八	帜
拆分：巾人	帧
拆分：巾儿	帨
拆分：巾寸	帱
拆分：巾人	帻
拆分：巾玉	帼
拆分：巾目	帽
拆分：巾土	幄
拆分：巾兀	幌
拆分：巾又	幔
拆分：巾小	幖
拆分：巾十	幛
拆分：巾田	幡
拆分：巾里	幢
拆分：一十	干
拆分：山幺	幽
拆分：丶厂	广
拆分：广土	庄
拆分：广大	庆
拆分：广匕	庇
拆分：广又	庋
拆分：广户	庐
拆分：广无	庑
拆分：广车	库
拆分：广巳	庖
拆分：广口	店
拆分：广寸	府
拆分：广寸	庤
拆分：广木	庥
拆分：广又	度
拆分：广土	座
拆分：广廴	庭
拆分：广十	庳
拆分：广灬	庶
拆分：广乀	康
拆分：广人	庼
拆分：广臾	庾
拆分：广鬼	廆
拆分：广乀	廉
拆分：广阝	廊
拆分：广又	廋
拆分：广一	廑
拆分：广阝	廓
拆分：广土	廛
拆分：广牛	廨
拆分：廴壬	廷
拆分：⺌彐	当
拆分：彳方	彷
拆分：彳又	役
拆分：彳刀	彻
拆分：彳又	彼
拆分：彳主	往
拆分：彳正	征
拆分：彳且	徂
拆分：彳工	径
拆分：彳寸	待
拆分：彳日	徇
拆分：彳口	徊
拆分：彳人	徒
拆分：彳来	徕
拆分：彳寸	得
拆分：彳非	徘
拆分：彳口	徛
拆分：彳口	徜
拆分：彳卩	御
拆分：彳王	徨
拆分：彳目	循
拆分：彳缶	徭
拆分：彳攵	微
拆分：彳攵	徵
拆分：彳心	德
拆分：彳攵	徽
拆分：丶丶	心
拆分：忄刀	忉
拆分：刃心	忍
拆分：忄千	忏
拆分：忄寸	忖
拆分：亡心	忘
拆分：文心	忞
拆分：中心	忠
拆分：忄午	忤
拆分：忄厶	忪
拆分：忄又	忮
拆分：人心	念
拆分：忄丑	忸
拆分：忄人	忺
拆分：勿心	忽
拆分：忄气	忾
拆分：八心	忿
拆分：太心	态
拆分：人心	怂
拆分：忄无	怃
拆分：忄乛	怆
拆分：忄口	怊
拆分：忄乍	怍
拆分：乍心	怎
拆分：忄央	怏
拆分：女心	怒
拆分：忄正	怔
拆分：忄白	怕
拆分：忄巾	怖
拆分：忄口	怙
拆分：忄龴	怜
拆分：忄口	怡
拆分：忄平	怦
拆分：忄生	性
拆分：忄匕	怩
拆分：忄土	怪
拆分：忄厶	怯
拆分：又心	怼
拆分：亻心	恁
拆分：忄日	恂
拆分：忄寸	恃
拆分：忄兀	恍
拆分：工心	恐
拆分：忄西	恓
拆分：忄乂	恔
拆分：女心	恕
拆分：土心	恚
拆分：丰心	恝
拆分：忄火	恢
拆分：冫心	恣
拆分：忄血	恤
拆分：而心	恧
拆分：囗心	恩
拆分：忄口	恪
拆分：忄口	恫
拆分：忄口	恬
拆分：忄口	恰
拆分：忄力	恸
拆分：忄犬	恹
拆分：忄刂	恻
拆分：忄车	恽
拆分：龴心	恿
拆分：忄木	悃
拆分：忄月	悄
拆分：人心	悆
拆分：忄干	悍
拆分：忄束	悚
拆分：忄里	悝
拆分：忄口	悟
拆分：串心	患
拆分：忄儿	悦
拆分：亻心	您
拆分：士心	悫
拆分：忄土	悭
拆分：忄小	悰
拆分：忄非	悱
拆分：忄十	悴
拆分：忄子	悸
拆分：忄干	悻
拆分：忄十	悼
拆分：忄月	情
拆分：忄口	惆
拆分：忄子	惇
拆分：忄小	惊
拆分：忄乛	惋
拆分：戈心	惑
拆分：忄火	惔
拆分：忄勿	惕
拆分：忄心	惚
拆分：忄日	惛
拆分：忄日	惜
拆分：忄口	惝
拆分：忄口	惦
拆分：忄八	惧
拆分：彳心	惩
拆分：夂心	惫
拆分：忄丨	惮
拆分：忄人	惯
拆分：忄月	惰
拆分：木心	想
拆分：忄而	惴
拆分：忄王	惶
拆分：忄生	惺
拆分：忄火	愀
拆分：彳心	愆
拆分：人心	愈
拆分：忄刂	愉
拆分：忄夂	愎
拆分：忄面	愐
拆分：忄日	愔
拆分：禺心	愚
拆分：戌心	感
拆分：忄方	愣
拆分：忄人	愤
拆分：忄人	愦
拆分：忄鬼	愧
拆分：忄小	愫
拆分：厂心	愿
拆分：忄臼	慆
拆分：丷心	慈
拆分：忄乀	慊
拆分：忄八	慎
拆分：忄又	慑
拆分：忄又	慢
拆分：忄辶	慥
拆分：忄乛	慨
拆分：忄一	慬
拆分：尸心	慰
拆分：忄乀	慷
拆分：忄日	憎
拆分：忄灬	憔
拆分：士心	憙
拆分：忄里	憧
拆分：千心	憩
拆分：忄小	憬
拆分：忄人	憷
拆分：忄心	憾
拆分：忄重	懂
拆分：忄牛	懈
拆分：忄大	懊
拆分：木心	懋
拆分：氵心	懑
拆分：忄人	懒
拆分：忄而	懦
拆分：一丶	戈
拆分：戈𠂇	戎
拆分：又戈	戏
拆分：人戈	戗
拆分：日戈	戥
拆分：宀戈	戭
拆分：户犬	戾
拆分：户方	房
拆分：户艹	扁
拆分：户口	扂
拆分：户口	扃
拆分：户夕	扅
拆分：户𧘇	扆
拆分：户非	扉
拆分：户火	扊
拆分：扌八	扒
拆分：扌丁	打
拆分：扌工	扛
拆分：扌干	扞
拆分：扌口	扣
拆分：扌千	扦
拆分：扌广	扩
拆分：扌门	扪
拆分：扌彐	扫
拆分：扌丑	扭
拆分：扌刀	扮
拆分：扌止	扯
拆分：扌又	扳
拆分：扌夫	扶
拆分：扌匕	批
拆分：扌乛	扼
拆分：扌戈	找
拆分：扌又	技
拆分：扌巴	把
拆分：扌卩	抑
拆分：扌又	投
拆分：扌几	抗
拆分：扌无	抚
拆分：扌力	抛
拆分：扌匕	抡
拆分：扌乛	抢
拆分：扌户	护
拆分：扌又	报
拆分：扌平	抨
拆分：扌又	披
拆分：扌口	抬
拆分：扌巳	抱
拆分：扌末	抹
拆分：扌乍	拃
拆分：扌主	拄
拆分：扌口	拈
拆分：扌立	拉
拆分：扌寸	拊
拆分：扌半	拌
拆分：扌白	拍
拆分：扌龴	拎
拆分：扌力	拐
拆分：扌石	拓
拆分：扌力	拗
拆分：扌口	拘
拆分：扌出	拙
拆分：扌口	招
拆分：扌人	拟
拆分：扌三	拦
拆分：扌丁	拧
拆分：扌口	括
拆分：扌工	拭
拆分：扌口	拮
拆分：扌八	拱
拆分：扌王	拴
拆分：扌夕	拶
拆分：扌口	拾
拆分：扌寸	持
拆分：扌土	挂
拆分：扌日	指
拆分：扌女	按
拆分：扌七	挓
拆分：扌辶	挝
拆分：扌辶	挞
拆分：扌夹	挟
拆分：扌兀	挠
拆分：扌彐	挡
拆分：扌车	挥
拆分：扌寸	挦
拆分：扌阝	挪
拆分：扌土	挫
拆分：扌廴	挺
拆分：扌乛	挽
拆分：扌口	捂
拆分：扌口	捃
拆分：扌木	捆
拆分：扌人	捉
拆分：扌刂	捌
拆分：扌干	捍
拆分：扌月	捎
拆分：扌月	捐
拆分：扌力	捞
拆分：扌人	损
拆分：扌大	换
拆分：扌山	捣
拆分：扌十	捭
拆分：扌口	据
拆分：扌刂	捯
拆分：扌垂	捶
拆分：扌人	捷
拆分：扌小	捺
拆分：扌心	捻
拆分：扌十	捽
拆分：扌人	掀
拆分：扌口	掂
拆分：扌又	授
拆分：扌十	掉
拆分：扌口	掎
拆分：扌非	排
拆分：扌出	掘
拆分：扌火	掞
拆分：扌小	掠
拆分：扌女	接
拆分：扌工	控
拆分：扌日	措
拆分：扌月	掮
拆分：扌力	掳
拆分：扌玉	掴
拆分：扌阝	掷
拆分：扌丨	掸
拆分：扌人	掼
拆分：扌刂	揄
拆分：扌木	揉
拆分：扌天	揍
拆分：扌田	描
拆分：扌人	提
拆分：扌土	握
拆分：扌而	揣
拆分：扌白	揩
拆分：扌火	揪
拆分：扌大	揳
拆分：扌又	援
拆分：扌阝	揶
拆分：扌人	揿
拆分：扌口	搁
拆分：扌女	搂
拆分：扌几	搋
拆分：扌方	搒
拆分：扌工	搓
拆分：扌乀	搛
拆分：扌口	搞
拆分：扌木	搡
拆分：扌冫	搦
拆分：扌口	搪
拆分：扌又	搬
拆分：扌朩	搽
拆分：扌心	摁
拆分：扌又	摄
拆分：扌心	摅
拆分：扌厶	摆
拆分：扌缶	摇
拆分：扌八	摈
拆分：扌丶	摛
拆分：扌小	摞
拆分：扌大	摸
拆分：扌小	摽
拆分：扌口	撂
拆分：扌女	撄
拆分：扌攵	撒
拆分：扌攵	撖
拆分：扌寸	撙
拆分：扌里	撞
拆分：扌攵	撤
拆分：扌田	播
拆分：扌又	撮
拆分：扌八	撰
拆分：扌人	撷
拆分：扌日	撸
拆分：扌心	撼
拆分：扌干	擀
拆分：扌田	擂
拆分：扌木	操
拆分：扌丶	擒
拆分：扌攵	擞
拆分：扌小	擦
拆分：扌辶	擿
拆分：扌人	攒
拆分：十又	支
拆分：亻攵	攸
拆分：八攵	攽
拆分：十攵	故
拆分：亠攵	效
拆分：米攵	敉
拆分：丿攵	敏
拆分：五攵	敔
拆分：耂攵	教
拆分：丶攵	敝
拆分：⺌攵	敞
拆分：艹攵	散
拆分：亠攵	敦
拆分：𭕄攵	敩
拆分：白攵	敫
拆分：米攵	数
拆分：文而	斋
拆分：文止	斌
拆分：王王	斑
拆分：方丹	旃
拆分：方人	旋
拆分：方生	旌
拆分：方匕	旎
拆分：方矢	族
拆分：方口	旖
拆分：方八	旗
拆分：方辶	旞
拆分：日十	早
拆分：日干	旰
拆分：日干	旱
拆分：日于	旴
拆分：日山	旵
拆分：日寸	时
拆分：日广	旷
拆分：日王	旺
拆分：日午	旿
拆分：日冫	昀
拆分：日卩	昂
拆分：日又	昄
拆分：日匕	昆
拆分：日户	昈
拆分：日方	昉
拆分：日天	昊
拆分：日日	昌
拆分：日月	明
拆分：日勿	昒
拆分：日勿	易
拆分：日厶	昙
拆分：夂日	昝
拆分：日生	星
拆分：日央	映
拆分：日幺	昡
拆分：日龴	昤
拆分：日未	昧
拆分：日乍	昨
拆分：日口	昫
拆分：日口	昭
拆分：日立	昱
拆分：日失	昳
拆分：日卩	昴
拆分：日匕	昵
拆分：日丙	昺
拆分：日兀	晃
拆分：日土	晊
拆分：日口	晌
拆分：日女	晏
拆分：日人	晐
拆分：日西	晒
拆分：日兀	晓
拆分：日十	晔
拆分：日车	晕
拆分：日车	晖
拆分：日口	晗
拆分：日夂	晙
拆分：日乛	晚
拆分：日巾	晞
拆分：扌日	晢
拆分：日口	晤
拆分：日八	晪
拆分：日十	晫
拆分：日小	景
拆分：日火	晱
拆分：日月	晴
拆分：日日	晶
拆分：矢日	智
拆分：日小	晾
拆分：车日	暂
拆分：日天	暌
拆分：日日	暑
拆分：日又	暖
拆分：日日	暗
拆分：日又	暧
拆分：日十	暲
拆分：日氺	暴
拆分：日乀	暵
拆分：日人	暶
拆分：日攵	暾
拆分：日口	暿
拆分：日里	曈
拆分：日日	曙
拆分：日灬	曛
拆分：日氺	曝
拆分：日又	曼
拆分：日又	最
拆分：月月	朋
拆分：月又	服
拆分：月出	朏
拆分：月口	朐
拆分：丷月	朔
拆分：月天	朕
拆分：亡王	望
拆分：十乀	木
拆分：丿未	朱
拆分：木八	朳
拆分：木力	朸
拆分：木几	机
拆分：木又	权
拆分：木千	杄
拆分：木干	杆
拆分：木兀	杌
拆分：木子	李
拆分：木寸	村
拆分：木大	杕
拆分：木弋	杙
拆分：木土	杜
拆分：木己	杞
拆分：木工	杠
拆分：夂朩	条
拆分：木马	杩
拆分：木几	杭
拆分：日木	杲
拆分：木日	杳
拆分：木午	杵
